ATS_CODE	BORO	BORONUM	LOC_CODE	SCHOOLNAME	SCH_TYPE	MANAGED_BY	GEO_DISTRI	ADMIN_DIST	ADDRESS	STATE_CODE	ZIP	PRINCIPAL	PRIN_PH	FAX	GRADES	City
04M038 	M	1.0	M038	P.S. 38 ROBERTO CLEMENTE	Elementary	1.0	4	4.0	232 EAST 103 STREET	NY	10029	NORMA CARABALLO	212-860-5882	212-860-6093	PK,0K,01,02,03,04,05,SE	MANHATTAN
02M040 	M	1.0	M040	P.S. 040 AUGUSTUS SAINT-GAUDENS	Elementary	1.0	2	2.0	319 EAST 19 STREET	NY	10003	SUSAN FELDER	212-475-5500	212-533-5388	PK,0K,01,02,03,04,05,SE	MANHATTAN
02M041 	M	1.0	M041	P.S. 041 GREENWICH VILLAGE	Elementary	1.0	2	2.0	116 WEST  11 STREET	NY	10011	KELLY SHANNON	212-675-2756	212-924-0910	0K,01,02,03,04,05,SE	MANHATTAN
02M042 	M	1.0	M042	P.S. 042 BENJAMIN ALTMAN	Elementary	1.0	2	2.0	71 HESTER STREET	NY	10002	Rosa Casiello O'Day	212-226-8410	212-431-7384	PK,0K,01,02,03,04,05,SE	MANHATTAN
04M045 	M	1.0	M045	J.H.S. M045 JOHN S. ROBERTS	Junior High-Intermediate-Middle	1.0	4	4.0	2351 1ST AVENUE	NY	10035	Tomasz Grabski	212-860-5838	212-860-5837	06,07,08,SE	MANHATTAN
05M046 	M	1.0	M046	P.S. 046 ARTHUR TAPPAN	Elementary	1.0	5	5.0	2987 FREDERICK DGLS BLVD	NY	10039	GEORGE YOUNG	212-690-5911	212-690-5913	PK,0K,01,02,03,04,05,06,07,SE	MANHATTAN
02M047 	M	1.0	M047	47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN	Secondary School	1.0	2	2.0	223 EAST 23 STREET	NY	10010	Watfa A. Shama	917-326-6668	917-326-6688	09,10,11,12,SE	MANHATTAN
06M048 	M	1.0	M048	P.S. 048 P.O. MICHAEL J. BUCZEK	Elementary	1.0	6	6.0	4360-78 BROADWAY	NY	10033	TRACY WALSH	917-521-3800	917-521-3805	PK,0K,01,02,03,04,05,SE	MANHATTAN
04M050 	M	1.0	M050	P.S. 050 VITO MARCANTONIO	K-8	1.0	4	4.0	433 EAST 100 STREET	NY	10029	Cynthia Rochez	212-860-5976	212-860-6071	0K,01,02,03,04,05,06,07,08,SE	MANHATTAN
02M051 	M	1.0	M051	P.S. 051 ELIAS HOWE	Elementary	1.0	2	2.0	323 East 91st Street	NY	10128	NANCY SING BOCK	212-757-3067	212-582-8661	PK,0K,01,02,03,04,05,SE	MANHATTAN
06M052 	M	1.0	M052	J.H.S. 052 INWOOD	Junior High-Intermediate-Middle	1.0	6	6.0	650 ACADEMY STREET	NY	10034	SALVADOR FERNANDEZ	212-567-9162	212-942-4952	06,07,08,SE	MANHATTAN
03M054 	M	1.0	M054	J.H.S. 054 BOOKER T. WASHINGTON	Junior High-Intermediate-Middle	1.0	3	3.0	103 WEST 107 STREET	NY	10025	ELANA ELSTER	212-678-2861	212-316-0883	06,07,08,SE	MANHATTAN
04M057 	M	1.0	M057	JAMES WELDON JOHNSON	K-8	1.0	4	4.0	176 EAST 115 STREET	NY	10029	ISRAEL SOTO	212-860-5812	212-860-6072	PK,0K,01,02,03,04,05,06,07,08,SE	MANHATTAN
02M059 	M	1.0	M059	P.S. 059 BEEKMAN HILL INTERNATIONAL	Elementary	1.0	2	2.0	213 EAST 63RD STREET	NY	10065	ADELE SCHROETER	212-888-7870	212-888-7872	0K,01,02,03,04,05,SE	NEW YORK
01M063 	M	1.0	M063	P.S. 063 WILLIAM MCKINLEY	Elementary	1.0	1	1.0	121 EAST  3 STREET	NY	10009	DARLENE DESPEIGNES	212-674-3180	212-420-9018	PK,0K,01,02,03,04,05,SE	MANHATTAN
01M064 	M	1.0	M064	P.S. 064 ROBERT SIMON	Elementary	1.0	1	1.0	600 EAST  6 STREET	NY	10009	Marlon L. Hosang	212-673-6510	212-477-2369	PK,0K,01,02,03,04,05,SE	MANHATTAN
04M072 	M	1.0	M072	P.S. 072	Elementary	1.0	4	4.0	131 EAST 104 STREET	NY	10029	Antonio Hernandez	212-860-5831	212-860-6094	PK,0K,01,02,03,04,05,SE	MANHATTAN
03M075 	M	1.0	M075	P.S. 075 EMILY DICKINSON	Elementary	1.0	3	3.0	735 WEST END AVENUE	NY	10025	Robert O'Brien	212-866-5400	212-678-2878	0K,01,02,03,04,05,SE	MANHATTAN
03M076 	M	1.0	M076	P.S. 076 A. PHILIP RANDOLPH	Elementary	1.0	3	3.0	220 WEST 121 STREET	NY	10027	CHARLES DEBERRY	212-678-2865	212-678-2867	PK,0K,01,02,03,04,05,06,07,SE	MANHATTAN
02M077 	M	1.0	M077	P.S. 77 LOWER LAB SCHOOL	Elementary	1.0	2	2.0	1700 3 AVENUE	NY	10128	MARA RATESIC KOETKE	212-427-2798	212-423-0634	0K,01,02,03,04,05,SE	MANHATTAN
75M079 	M	1.0	M079	P.S. M079 - HORAN SCHOOL	Secondary School	1.0	5	75.0	55 EAST 120 STREET	NY	10035	Greer Phillips	212-369-3134	212-996-8307	05,06,07,08,09,10,11,12,SE	MANHATTAN
04M083 	M	1.0	M083	P.S. 083 LUIS MUNOZ RIVERA	Elementary	1.0	4	4.0	219 EAST 109 STREET	NY	10029	FRANCES CASTILLO	212-860-5847	212-860-6073	PK,0K,01,02,03,04,05,SE	MANHATTAN
03M084 	M	1.0	M084	P.S. 084 LILLIAN WEBER	Elementary	1.0	3	3.0	32 WEST  92 STREET	NY	10025	ROBIN SUNDICK	212-799-2534	212-501-9071	PK,0K,01,02,03,04,05,SE	MANHATTAN
03M087 	M	1.0	M087	P.S. 087 WILLIAM SHERMAN	Elementary	1.0	3	3.0	160 WEST  78 STREET	NY	10024	MONICA BERRY	212-678-2826	212-678-5886	PK,0K,01,02,03,04,05,SE	MANHATTAN
02M089 	M	1.0	M089	P.S. 89	Elementary	1.0	2	2.0	201 WARREN STREET	NY	10282	VERONICA NAJJAR	212-571-5659	212-571-0739	PK,0K,01,02,03,04,05,SE	MANHATTAN
05M092 	M	1.0	M092	P.S. 092 MARY MCLEOD BETHUNE	Elementary	1.0	5	5.0	222 WEST 134 STREET	NY	10030	ROSA DAVILA	212-690-5915	212-690-5920	PK,0K,01,02,03,04,05,SE	MANHATTAN
75M094 	M	1.0	M094	P.S. M094	K-8	1.0	1	75.0	442 EAST HOUSTON STREET	NY	10002	RONNIE SHUSTER	212-533-8140	212-228-6984	0K,01,02,03,04,05,06,07,08,SE	MANHATTAN
04M096 	M	1.0	M096	P.S. 096 JOSEPH LANZETTA	K-8	1.0	4	4.0	216 EAST 120 STREET	NY	10035	NOEL RIOS	212-860-5851	212-860-6074	PK,0K,01,02,03,04,05,06,07,08,SE	MANHATTAN
06M098 	M	1.0	M098	P.S. 098 SHORAC KAPPOCK	Elementary	1.0	6	6.0	512 WEST 212 STREET	NY	10034	MARITZA RODRIGUEZ	212-927-7870	212-569-1827	PK,0K,01,02,03,04,05,SE	MANHATTAN
04M102 	M	1.0	M102	P.S. 102 JACQUES CARTIER	Elementary	1.0	4	4.0	315 EAST 113 STREET	NY	10029	SANDRA GITTENS	212-860-5834	212-860-6076	PK,0K,01,02,03,04,05,SE	MANHATTAN
02M104 	M	1.0	M104	J.H.S. 104 SIMON BARUCH	Junior High-Intermediate-Middle	1.0	2	2.0	330 EAST  21 STREET	NY	10010	ROSEMARIE GAETANI	212-674-4545	212-477-2205	06,07,08,SE	MANHATTAN
04M108 	M	1.0	M108	P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL C	K-8	1.0	4	4.0	1615 MADISON AVENUE	NY	10029	LOURDES ARROYO	212-860-5803	212-860-6095	PK,0K,01,02,03,04,05,06,07,08,SE	MANHATTAN
01M110 	M	1.0	M110	P.S. 110 FLORENCE NIGHTINGALE	Elementary	1.0	1	1.0	285 DELANCY STREET	NY	10002	KAREN FEUER	212-674-2690	212-475-5835	PK,0K,01,02,03,04,05,SE	MANHATTAN
02M111 	M	1.0	M111	P.S. 111 ADOLPH S. OCHS	K-8	1.0	2	2.0	440 WEST  53 STREET	NY	10019	IRMA MEDINA	212-582-7420	212-245-7236	PK,0K,01,02,03,04,05,06,07,08,SE	MANHATTAN
04M112 	M	1.0	M112	P.S. 112 JOSE CELSO BARBOSA	Early Childhood	1.0	4	4.0	535 EAST 119 STREET	NY	10035	EILEEN REITER	212-860-5868	212-860-6077	PK,0K,01,02,SE	MANHATTAN
06M115 	M	1.0	M115	P.S. 115 ALEXANDER HUMBOLDT	Elementary	1.0	6	6.0	586 WEST 177 STREET	NY	10033	ANGELA RODRIGUEZ	212-927-9233	212-795-4051	PK,0K,01,02,03,04,05,SE	MANHATTAN
02M116 	M	1.0	M116	P.S. 116 MARY LINDLEY MURRAY	Elementary	1.0	2	2.0	210 EAST  33 STREET	NY	10016	JANE HSU	212-685-4366	212-696-1009	0K,01,02,03,04,05,SE	MANHATTAN
05M123 	M	1.0	M123	P.S. 123 MAHALIA JACKSON	K-8	1.0	5	5.0	301 WEST 140 STREET	NY	10030	BEVERLY LEWIS	212-690-5925	212-690-5930	PK,0K,01,02,03,04,05,06,07,08,SE	MANHATTAN
02M124 	M	1.0	M124	P.S. 124 YUNG WING	Elementary	1.0	2	2.0	40 DIVISION STREET	NY	10002	ALICE HOM	212-966-7237	212-219-3069	PK,0K,01,02,03,04,05,SE	MANHATTAN
05M125 	M	1.0	M125	P.S. 125 RALPH BUNCHE	Elementary	1.0	5	5.0	425 WEST 123 STREET	NY	10027	RAFAELA ESPINAL PACHECO	212-666-6400	212-749-1291	PK,0K,01,02,03,04,05,SE	MANHATTAN
02M126 	M	1.0	M126	P.S. 126 JACOB AUGUST RIIS	K-8	1.0	2	2.0	80 CATHERINE STREET	NY	10038	JACQUELINE GETZ	212-962-2188	212-349-7342	PK,0K,01,02,03,04,05,06,07,08,SE	MANHATTAN
06M128 	M	1.0	M128	P.S. 128 AUDUBON	Elementary	1.0	6	6.0	560 WEST 169 STREET	NY	10032	Rosa Argelia Arredondo	212-927-0607	212-781-8002	PK,0K,01,02,03,04,05,SE	MANHATTAN
05M129 	M	1.0	M129	P.S. 129 JOHN H. FINLEY	K-8	1.0	5	5.0	425 WEST 130 STREET	NY	10027	ODELPHIA PIERRE	212-690-5932	212-690-5934	PK,0K,01,02,03,04,05,06,07,08,SE	MANHATTAN
02M130 	M	1.0	M130	P.S. 130 HERNANDO DE SOTO	Elementary	1.0	2	2.0	143 BAXTER STREET	NY	10013	LILY WOO	212-226-8072	212-431-5524	PK,0K,01,02,03,04,05,SE	MANHATTAN
02M131 	M	1.0	M131	M.S. 131	Junior High-Intermediate-Middle	1.0	2	2.0	100 HESTER STREET	NY	10002	PHYLLIS TAM	212-219-1204	212-925-6386	06,07,08,SE	MANHATTAN
06M132 	M	1.0	M132	P.S. 132 JUAN PABLO DUARTE	Elementary	1.0	6	6.0	185 WADSWORTH AVENUE	NY	10033	XIOMARA NOVA	212-927-7857	212-568-8163	0K,01,02,03,04,05,SE	MANHATTAN
05M133 	M	1.0	M133	P.S. 133 FRED R MOORE	Elementary	1.0	5	5.0	2121 5 AVENUE	NY	10037	SUSAN M. VAIRO	212-690-5936	212-690-5939	PK,0K,01,02,03,04,05,SE	MANHATTAN
01M134 	M	1.0	M134	P.S. 134 HENRIETTA SZOLD	Elementary	1.0	1	1.0	293 EAST BROADWAY	NY	10002	LORETTA CAPUTO	212-673-4470	212-475-6142	PK,0K,01,02,03,04,05,SE	MANHATTAN
01M137 	M	1.0	M137	P.S. 137 JOHN L. BERNSTEIN	Elementary	1.0	1	1.0	293 EAST BROADWAY	NY	10002	MELISSA RODRIGUEZ	646-602-2140	646-602-2146	PK,0K,01,02,03,04,05,SE	MANHATTAN
01M140 	M	1.0	M140	P.S. 140 NATHAN STRAUS	K-8	1.0	1	1.0	123 RIDGE STREET	NY	10002	ESTEBAN BARRIENTOS	212-677-4680	212-677-3907	PK,0K,01,02,03,04,05,06,07,08,SE	MANHATTAN
01M142 	M	1.0	M142	P.S. 142 AMALIA CASTRO	Elementary	1.0	1	1.0	100 ATTORNEY STREET	NY	10002	RHONDA LEVY	212-598-3800	212-598-3810	PK,0K,01,02,03,04,05,SE	MANHATTAN
06M143 	M	1.0	M143	J.H.S. 143 ELEANOR ROOSEVELT	Junior High-Intermediate-Middle	1.0	6	6.0	511 WEST 182ND STREET	NY	10033	OURANIA PAPPAS	212-927-7739	212-781-5539	06,07,08,SE	MANHATTAN
03M145 	M	1.0	M145	P.S. 145, THE BLOOMINGDALE SCHOOL	Elementary	1.0	3	3.0	150 WEST 105 STREET	NY	10025	IVELISSE ALVAREZ	212-678-2857	212-222-4610	PK,0K,01,02,03,04,05,SE	MANHATTAN
04M146 	M	1.0	M146	P.S. 146 ANN M. SHORT	Elementary	1.0	4	4.0	421 EAST 106 STREET	NY	10029	MONA SILFEN	212-860-5877	212-860-6078	PK,0K,01,02,03,04,05,SE	MANHATTAN
03M149 	M	1.0	M149	P.S. 149 SOJOURNER TRUTH	K-8	1.0	3	3.0	41 WEST 117 STREET	NY	10026	Kayrol Burgess Harper	646-672-9020	646-672-9302	PK,0K,01,02,03,04,05,06,07,08,SE	MANHATTAN
02M150 	M	1.0	M150	P.S. 150	Elementary	1.0	2	2.0	334 GREENWICH STREET	NY	10013	Maggie Siena	212-732-4392	212-766-5895	PK,0K,01,02,03,04,05	MANHATTAN
06M152 	M	1.0	M152	P.S. 152 DYCKMAN VALLEY	Elementary	1.0	6	6.0	93 NAGLE AVENUE	NY	10040	JULIA PIETRI	212-567-5456	212-942-6319	0K,01,02,03,04,05,SE	MANHATTAN
06M153 	M	1.0	M153	P.S. 153 ADAM CLAYTON POWELL	Elementary	1.0	6	6.0	1750 AMSTERDAM AVENUE	NY	10031	KAREN BAILEY	212-927-8611	212-234-4616	PK,0K,01,02,03,04,05,SE	MANHATTAN
05M154 	M	1.0	M154	P.S. 154 HARRIET TUBMAN	Elementary	1.0	5	5.0	250 WEST 127 STREET	NY	10027	ELIZABETH JARRETT	212-864-2400	212-864-3933	PK,0K,01,02,03,04,05,SE	MANHATTAN
04M155 	M	1.0	M155	P.S. 155 WILLIAM PACA	Elementary	1.0	4	4.0	319 EAST 117 STREET	NY	10035	LILLIAN RAIMUNDI ORTIZ	212-860-5885	212-828-3587	PK,0K,01,02,03,04,05,SE	MANHATTAN
02M158 	M	1.0	M158	P.S. 158 BAYARD TAYLOR	Elementary	1.0	2	2.0	1458 YORK AVENUE	NY	10075	Darryl Alhadeff	212-744-6562	212-772-8424	PK,0K,01,02,03,04,05,SE	MANHATTAN
05M161 	M	1.0	M161	P.S. 161 PEDRO ALBIZU CAMPOS	K-8	1.0	5	5.0	499 WEST 133 STREET	NY	10027	BARBARA FREEMAN	212-690-5945	917-507-0524	0K,01,02,03,04,05,06,07,08,SE	MANHATTAN
03M163 	M	1.0	M163	P.S. 163 ALFRED E. SMITH	Elementary	1.0	3	3.0	163 WEST  97 STREET	NY	10025	VIRGINIA PEPE	212-678-2854	212-678-2856	PK,0K,01,02,03,04,05,SE	MANHATTAN
03M165 	M	1.0	M165	P.S. 165 ROBERT E. SIMON	K-8	1.0	3	3.0	234 WEST 109 STREET	NY	10025	Brett Gallini	212-678-2873	212-222-6700	PK,0K,01,02,03,04,05,06,07,08,SE	MANHATTAN
03M166 	M	1.0	M166	P.S. 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AN	Elementary	1.0	3	3.0	132 WEST  89 STREET	NY	10024	Debbie J. Hand	212-678-2829	212-579-4542	0K,01,02,03,04,05,SE	MANHATTAN
02M167 	M	1.0	M167	J.H.S. 167 ROBERT F. WAGNER	Junior High-Intermediate-Middle	1.0	2	2.0	220 EAST  76 STREET	NY	10021	JENNIFER REHN	212-535-8610	212-472-9385	06,07,08,SE	MANHATTAN
75M169 	M	1.0	M169	P.S. M169 - ROBERT F. KENNEDY	K-12 all grades	1.0	2	75.0	110 EAST  88 STREET	NY	10128	SUSAN FINN	212-348-6140	212-996-8245	0K,01,02,03,04,05,06,07,08,09,10,11,12,SE	MANHATTAN
04M171 	M	1.0	M171	P.S. 171 PATRICK HENRY	K-8	1.0	4	4.0	19 EAST 103 STREET	NY	10029	DIMITRES PANTELIDIS	212-860-5801	212-860-6079	PK,0K,01,02,03,04,05,06,07,08,SE	MANHATTAN
06M173 	M	1.0	M173	P.S. 173	Elementary	1.0	6	6.0	306 FORT WASHINGTON AVENUE	NY	10033	DAWN BOURSIQUOT	212-927-7850	212-740-0905	PK,0K,01,02,03,04,05,SE	MANHATTAN
05M175 	M	1.0	M175	P.S. 175 HENRY H GARNET	Elementary	1.0	5	5.0	175 WEST 134 STREET	NY	10030	CHERYL MCCLENDON	212-283-0426	212-286-6319	PK,0K,01,02,03,04,05,SE	MANHATTAN
06M178 	M	1.0	M178	PROFFESOR JUAN BOSCH PUBLIC SCHOOL	Early Childhood	1.0	6	6.0	12-18 ELLWOOD STREET	NY	10040	DEIRDRE BUDD	212-569-0327	212-569-0389	0K,01,02,SE	MANHATTAN
03M180 	M	1.0	M180	P.S. 180 HUGO NEWMAN	K-8	1.0	3	3.0	370 WEST 120 STREET	NY	10027	PETER MCFARLANE	212-678-2849	212-665-1572	PK,0K,01,02,03,04,05,06,07,08,SE	MANHATTAN
04M182 	M	1.0	M182	THE BILINGUAL BICULTURAL SCHOOL	Elementary	1.0	4	4.0	219 EAST 109 STREET	NY	10029	ANDREA HERNANDEZ	212-860-6031	212-860-4536	0K,01,02,03,04,05	MANHATTAN
02M183 	M	1.0	M183	P.S. 183 ROBERT L. STEVENSON	Elementary	1.0	2	2.0	419 EAST  66 STREET	NY	10065	Tara Napoleoni	212-734-7719	212-861-8314	0K,01,02,03,04,05,SE	MANHATTAN
01M184 	M	1.0	M184	P.S. 184M SHUANG WEN	K-8	1.0	1	1.0	327 CHERRY STREET	NY	10002	LING LING CHOU	212-602-9700	212-602-9710	PK,0K,01,02,03,04,05,06,07,08,SE	MANHATTAN
03M185 	M	1.0	M185	P.S. 185 JOHN M. LANGSTON	Early Childhood	1.0	3	3.0	20 WEST 112 STREET	NY	10026	JANE MURPHY	212-534-7490	212-831-8613	PK,0K,01,02,SE	MANHATTAN
06M187 	M	1.0	M187	P.S. 187 HUDSON CLIFFS	K-8	1.0	6	6.0	349 CABRINI BOULEVARD	NY	10040	Ms. Cynthia Chory	212-927-8218	212-795-9119	PK,0K,01,02,03,04,05,06,07,08,SE	MANHATTAN
01M188 	M	1.0	M188	P.S. 188 THE ISLAND SCHOOL	K-8	1.0	1	1.0	442 EAST HOUSTON STREET	NY	10002	MARY PREE	212-677-5710	212-228-3007	PK,0K,01,02,03,04,05,06,07,08,SE	MANHATTAN
06M189 	M	1.0	M189	P.S. 189	Elementary	1.0	6	6.0	2580 AMSTERDAM AVENUE	NY	10040	THERESA LUGER	212-927-8303	212-928-7733	PK,0K,01,02,03,04,05,SE	MANHATTAN
03M191 	M	1.0	M191	P.S. 191 AMSTERDAM	Elementary	1.0	3	3.0	210 WEST  61 STREET	NY	10023	MARIA VERDESOTO	212-757-4343	212-757-1022	PK,0K,01,02,03,04,05,06,07,08,SE	MANHATTAN
06M192 	M	1.0	M192	P.S. 192 JACOB H. SCHIFF	Elementary	1.0	6	6.0	500 WEST 138 STREET	NY	10031	Deborah Schaefer	212-281-8395	212-862-7129	PK,0K,01,02,03,04,05,SE	MANHATTAN
05M194 	M	1.0	M194	P.S. 194 COUNTEE CULLEN	Elementary	1.0	5	5.0	244 WEST 144 STREET	NY	10030	Charyn Koppelson Cleary	212-690-5954	212-862-5743	0K,01,02,03,04,05,SE	MANHATTAN
05M195 	M	1.0	M195	I.S. 195 ROBERTO CLEMENTE	Junior High-Intermediate-Middle	1.0	5	5.0	625 WEST 133 STREET	NY	10027	ROSARIE JEAN	212-690-5848	212-690-5999	06,07,08,SE	MANHATTAN
05M197 	M	1.0	M197	P.S. 197 JOHN B. RUSSWURM	Elementary	1.0	5	5.0	2230 5 AVENUE	NY	10037	RENARDO WRIGHT	212-690-5960	212-690-5959	PK,0K,01,02,03,04,05,SE	MANHATTAN
02M198 	M	1.0	M198	P.S. 198 ISADOR E. IDA STRAUS	Elementary	1.0	2	2.0	1700 3 AVENUE	NY	10128	SHARON JEFFREY ROEBUCK	212-289-3702	212-410-1731	PK,0K,01,02,03,04,05,SE	MANHATTAN
03M199 	M	1.0	M199	P.S. 199 JESSIE ISADOR STRAUS	Elementary	1.0	3	3.0	270 WEST  70 STREET	NY	10023	KATY ROSEN	212-799-1033	212-799-1179	0K,01,02,03,04,05,SE	MANHATTAN
05M200 	M	1.0	M200	P.S. 200- THE JAMES MCCUNE SMITH SCHOOL	Elementary	1.0	5	5.0	2589 7 AVENUE	NY	10039	Renee Y. Belton	212-491-6636	212-491-6925	PK,0K,01,02,03,04,05,SE	MANHATTAN
04M206 	M	1.0	M206	P.S. 206 JOSE CELSO BARBOSA	Elementary	1.0	4	4.0	508 EAST 120 STREET	NY	10035	MYRNA RODRIGUEZ	212-860-5809	212-860-6080	03,04,05,SE	MANHATTAN
03M208 	M	1.0	M208	P.S. 208 ALAIN L. LOCKE	Elementary	1.0	3	3.0	21 WEST 111 STREET	NY	10026	Susan M. Green	212-534-9580	212-534-8227	03,04,05,SE	MANHATTAN
02M212 	M	1.0	M212	P.S. 212 MIDTOWN WEST	Elementary	1.0	2	2.0	328 WEST  48 STREET	NY	10036	DEAN KETCHUM	212-247-0208	212-757-4933	0K,01,02,03,04,05,SE	MANHATTAN
02M217 	M	1.0	M217	P.S./I.S. 217 ROOSEVELT ISLAND	K-8	1.0	2	2.0	645 MAIN STREET	NY	10044	MANDANA BECKMAN	212-980-0294	212-980-1192	PK,0K,01,02,03,04,05,06,07,08,SE	MANHATTAN
06M218 	M	1.0	M218	I.S. 218 SALOME URENA	Junior High-Intermediate-Middle	1.0	6	6.0	4600 BROADWAY	NY	10040	JUNE BARNETT	212-567-2322	212-569-7221	06,07,08,SE	MANHATTAN
06M223 	M	1.0	M223	THE MOTT HALL SCHOOL	Junior High-Intermediate-Middle	1.0	6	6.0	71-111 CONVENT AVE	NY	10027	CYNTHIA ARNDT	212-281-5028	212-491-3451	06,07,08,SE	MANHATTAN
04M224 	M	1.0	M224	M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMIC	Junior High-Intermediate-Middle	1.0	4	4.0	410 EAST 100 STREET	NY	10029	Liliana Sarro	212-860-6047	212-410-0678	06,07,08,SE	MANHATTAN
02M225 	M	1.0	M225	ELLA BAKER SCHOOL	K-8	1.0	2	2.0	317 EAST  67 STREET	NY	10065	LAURA GARCIA	212-717-8809	212-717-8807	PK,0K,01,02,03,04,05,06,07,08	MANHATTAN
75M226 	M	1.0	M226	P.S. M226	K-12 all grades	1.0	2	75.0	345 EAST  15TH STREET	NY	10003	DANIA CHEDDIE	212-477-5017	212-477-5164	PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE	MANHATTAN
02M234 	M	1.0	M234	P.S. 234 INDEPENDENCE SCHOOL	Elementary	1.0	2	2.0	292 GREENWICH STREET	NY	10007	LISA RIPPERGER	212-233-6034	212-374-1719	0K,01,02,03,04,05,SE	MANHATTAN
03M241 	M	1.0	M241	P.S. 241 FAMILY ACADEMY	K-8	1.0	3	3.0	240 WEST 113 STREET	NY	10026	DIANA DIAZ	212-678-2898	212-678-2975	0K,01,02,03,04,05,08,SE	MANHATTAN
03M242 	M	1.0	M242	P.S. M242 -  GWENDOLYN POWELL BROWN COMPUTER SCHOO	Elementary	1.0	3	3.0	134 WEST 122 STREET	NY	10027	DENISE GOMEZ	212-678-2908	212-678-2927	0K,01,02,03,04,05,SE	MANHATTAN
03M245 	M	1.0	M245	M.S. M245 THE COMPUTER SCHOOL	Junior High-Intermediate-Middle	1.0	3	3.0	100 WEST  77 STREET	NY	10024	HENRY ZYMECK	917-441-0873	212-678-5908	06,07,08,SE	MANHATTAN
03M247 	M	1.0	M247	M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL	Junior High-Intermediate-Middle	1.0	3	3.0	32 WEST  92 STREET	NY	10025	CLAUDIA AGUIRRE	212-799-2653	212-579-2407	06,07,08,SE	MANHATTAN
03M250 	M	1.0	M250	M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL	Junior High-Intermediate-Middle	1.0	3	3.0	735 WEST END AVENUE	NY	10025	JEANNE ROTUNDA	212-866-6313	212-678-5295	06,07,08,SE	MANHATTAN
02M255 	M	1.0	M255	M.S. 255 SALK SCHOOL OF SCIENCE	Junior High-Intermediate-Middle	1.0	2	2.0	319 EAST 19 STREET	NY	10003	Rhonda Perry	212-614-8785	212-614-0095	06,07,08,SE	MANHATTAN
03M256 	M	1.0	M256	M.S. 256 ACADEMIC & ATHLETIC EXCELLENCE	Junior High-Intermediate-Middle	1.0	3	3.0	154 WEST  93 STREET	NY	10025	Jeffrey S. Perl	212-222-2857	212-531-0586	06,07,08,SE	MANHATTAN
03M258 	M	1.0	M258	M.S. 258 COMMUNITY ACTION SCHOOL	Junior High-Intermediate-Middle	1.0	3	3.0	154 WEST  93 STREET	NY	10025	JOHN CURRY	212-678-5888	212-961-1613	06,07,08,SE	MANHATTAN
02M260 	M	1.0	M260	M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS	Junior High-Intermediate-Middle	1.0	2	2.0	425 WEST 33RD STREET	NY	10001	JOSEPH ANDERSON	212-695-9114	212-695-9611	06,07,08,SE	New York
06M278 	M	1.0	M278	P.S./I.S. 278	K-8	1.0	6	6.0	421 W 219TH ST	NY	10034	MAUREEN GUIDO	212-942-3440	NULL	0K,01,02,03,04,05,06,07,08,SE	MANHATTAN
84M279	M	1.0	M279	THE OPPORTUNITY CHARTER SCHOOL	Secondary School	2.0	3	84.0	240 WEST 113 STREET	NY	10026	Marya Baker	212-866-6137	212-665-7436	06,07,08,09,10,11,12,SE	MANHATTAN
03M283 	M	1.0	M283	MANHATTAN THEATRE LAB HIGH SCHOOL	High school	1.0	3	3.0	122 AMSTERDAM AVENUE	NY	10023	EVELYN COLLINS	212-362-2075	212-362-9031	09,10,11,12,SE	MANHATTAN
84M284	M	1.0	M284	HARLEM CHILDREN'S ZONE/PROMISE ACADEMY CHARTER SCH	K-12 all grades	2.0	5	84.0	35 EAST 125TH STREET	NY	10035	Tonya White/Dennis McKesey	212-368-3470	212-289-0661	0K,01,02,03,04,05,06,07,10,11	MANHATTAN
05M285 	M	1.0	M285	HARLEM RENAISSANCE HIGH SCHOOL	High school	1.0	5	5.0	22 EAST 128 STREET	NY	10035	Nadav Zeimer	212-996-3795	212-996-4354	09,10,11,12,SE	MANHATTAN
05M286 	M	1.0	M286	I.S. M286 RENAISSANCE MILITARY LEADERSHIP ACADEMY	Junior High-Intermediate-Middle	1.0	5	5.0	509 WEST 129 STREET	NY	10027	QADIR BEN DIXON	212-690-5972	212-694-4124	06,07,08,SE	MANHATTAN
02M288 	M	1.0	M288	FOOD AND FINANCE HIGH SCHOOL	High school	1.0	2	2.0	525 WEST  50TH STREET	NY	10019	ROGER TURGEON	212-586-2943	212-586-4205	09,10,11,12,SE	MANHATTAN
02M289 	M	1.0	M289	I.S. 289	Junior High-Intermediate-Middle	1.0	2	2.0	201 WARREN STREET	NY	10282	ELLEN FOOTE	212-571-9268	212-587-6610	06,07,08,SE	MANHATTAN
02M290 	M	1.0	M290	P.S. 290 MANHATTAN NEW SCHOOL	Elementary	1.0	2	2.0	311 EAST  82 STREET	NY	10028	SHARON HILL	212-734-7127	212-772-8879	0K,01,02,03,04,05,SE	MANHATTAN
